sent1,sent2,is_duplicate
"Achtung, das Band ist schmaler als die Gear 2. Die beiliegenden Stäbchen um das Band mit der Uhr zu verbinden sind zu kurz. Dazu gibt es eine hässliche Lücke. Das Band selbst ist gut.",Ein Solar Dummy Camera ist kaputt.,1
Habe die Hausnummer bestellt aber sie wurde leider mit einem Paketdienst versendet der nicht in der Lage war uns zu finden und diese zurück geschickt hat,"Dieser Artikel ist auch unversehrt bei mir eingetroffen, wie erwartet.Funktioniert wie geschmiert. Bin sehr zufrieden mit diesen Artikel. Es ist alles o.k",0
Hätte ich nicht gedacht das die so gut funktioniert. Billige Ausführung mit Delle am Rand deshalb nur 4 Sterne. Rösti perfekt geworden,Schnelle Lieferung!!! Artikel ist ok!!!,1
Leider fehlen 4 Magnete,Der Besteckkasten war total beschädigt! Die Seitenwände waren abgebrochen und sehr schlecht verarbeitet. Alles hat gewackelt. Kann nicht verstehen dass so etwas geliefert wird...,1
"Der Engel sah auf der Abbildung sehr viel schöner aus. Als ich ihn aus der Verpackung nehmen wollte, vielen schon viele goldene Steinchen/Pailletten raus. Sehr schade. Habe den Engel wieder zurück geschickt.","Schnell geliefert, Aufbau ohne Probleme. Wer im Winter etwas für die Fitness in den eigenen vier Wänden machen mag ist mit dem Gerät gut bedient. Preis Leistung Top!",0
Wo bleibt meine Bestellung? Seit 30. Juli habe ich meine Bestellung nicht erhalten. Ich habe den Verkäufer 3 mal kontaktiert und keine Rückmeldung erhalten.,Tolle Qualität trotz sehr günstigen Preis,0
"Pünktlich bekommen, aber Batterien alle und eine Maus wackelt nicht mit dem Kopf.","Preis + Leistung Top. Verkäufer Top. Es gab problem mit Lieferung , Amazon und Verkäufer super verhalten .",0
"Ich schreibe diese Rezension nach 3 Tagen Dauerbetrieb. Sein vollwertiges Produkt. -Sehr einfach zu bedienen. -Wert für Geld natürlich. -Reinigung gefällt mir am besten, sehr einfach, einfach etwas Wasser hineingeben und aufmachen, es reinigt sich von selbst. -robustes und kristallklares Glas Sehr schön, funktioniert mühelos. Die kompakte Größe des Produkts macht es nützlicher.","Ich benutze seit Jahren ein ziemlich günstiges Messer aus Plastik und hab mich nun dazu entschieden etwas hochwertigeres zu testen. Der Griff ist für mich etwas ungewohnt gewesen aber sehr ergonomisch sodass man sich ziemlich schnell daran gewöhnt. Qualitativ ist das Messer definitiv besonders. Ich muss die Überraschung leider vermiesen aber über die Geldklammer, die nicht in der Beschreibung erwähnt wird Habe ich mich sehr gefreut. Die Aufmachung der Verpackung macht was her und sieht super aus. Alles im allem ein wirklich gutes Messer!",1
"Ich habe mir den Kopfhörer aufgrund der guten Amazon Bewertungen im Juni 2017 gekauft. Nach ca. 8 Monaten fing es an, bei Busfahrten, Zugfahrten etc. also bei bestimmten Vibrationen hörte man so ein komisches Knacken in der linken Ohrmuschel. Daraufhin habe ich nochmals die Rezensionen bei Amazon nachgelesen, dass der Kopfhörer scheinbar echt oft frühzeitig nicht mehr funktioniert. Ich habe mich mit dem unangenehmen Knacken arrangiert und den Kopfhörer weiterhin ohne das active noise cancelling verwendet. Heute, ca. 14 Monate nach dem Kauf, kommt jetzt nur noch am rechten Ohr Sound raus. Ich bin sehr enttäuscht. Ich bin davon ausgegangen dass ein solch teurer Kopfhörer schon ein paar Jahre hält. Kann nur sagen: Macht nicht den selben Fehler wie ich und kauft diesen Kopfhörer!","Das Panzerglas schützt recht gut und ist gut zu verarbeiten. Schlecht ist, dass es selbst recht schnell Schaden nimmt und man sich an den Splittern verletzen kann",0
"Tolle kette, das material fast Sicht gut an und ist sehr stabil, es lässt sich super einfach und schnell auf dich richtige länge Einstellen. Produkt kam pünktlich. Es sieht toll aus und ist praktisch. Die Farbe ist sehr schön. Ein tolles Geschenk für Freunde oder sich selbst","wie ausgelobt,beste Qualität",1
"Das Handy tut, was es soll. Das einzig Negative ist die Werbung für andere Handys der Firma, die man nicht löschen kann und noch dazu auch noch Updates erhält.","ich mag die Flasche sehr, für die große Öffnung hab ich den Sipper bestellt, das klappt gut. Die Flasche ist sehr wertig, nicht wie die billigen Flaschen die man im Fitnessstudio bekommt.",1
"Was soll man zu der Cola groß sagen?! Nicht viel. Jeder mag eine leckere kalte Cola. 😁 Einen Stern Abzug gibt es,weil meine erste Lieferung verloren ging und als Sie dann 1 Woche später endlich ankam,war die Stiege einfach in einen Karton gepackt,ohne Luftpolster oder Papier,so das einige Dosen verbeult sind. Die erste Dose ,die ich trank hatte dazu einen seltsamen abgestandenen geschmack und ohne Kohlensäure. Bei dem Rest schaue ich mal,da ich soviel Cola durst noch nicht hatte.","Weil mein alter Funkkopfhörer vor Elend bald auseinander fällt, musste jetzt mal ein neuer her. Ich hatte in meiner Jugend einen kabelgebundenen Kopfhörer von Sennheiser besessen, der mir klanglich damals sehr gut gefallen hatte. Deshalb habe ich mich jetzt auch wieder einmal für einen Kopfhörer dieses Herstellers entschieden. Der Zusammenbau und die Inbetriebnahme ist für erfahrene Benutzer von Funkkopfhörern eigentlich einfach, weil die Bedienelemente nicht anders sind als bei anderen Funkkopfhörern auch. Es ist wieder einmal mehr meiner Sehbehinderung zuzuschreiben, dass der Zusammenbau bei mir länger gedauert hat. Zunächst kam ich ohne Bedienungsanleitung zurecht, aber als ich dann nach den Kontakten zum Aufladen gesucht hatte, traten die ersten Probleme auf. Die mitgelieferte Kurzanleitung besteht fast nur aus Bildern, damit kann ich nicht viel anfangen. Ich musste also erst einmal im Internet nach der Bedienungsanleitung suchen. Dann habe ich die Vorrichtung für die Wandmontage für die Netzbuchse gehalten und hab mich dann erst einmal gefragt, warum das Ding nicht lädt, bis ich dann die richtige Buchse entdeckt habe. Zu guter Letzt kam dann auch noch kein Signal und der Kopfhörer diente erst mal als Empfänger eines polnischen Senders, mit dem ich nichts anfangen konnte. Ich ging davon aus, dass das Audiokabel defekt sein könnte und war schon drauf und dran, das Ding wieder einzupacken, aber dann hat es doch irgendwann noch geklappt und ich hatte ein Signal. Ich denke, dass der Akku noch nicht richtig aufgeladen war, dann zicken solche Kopfhörer ja gern mal herum. Jetzt funktioniert aber alles und ich gebe dem Kopfhörer noch eine Chance, obgleich er einige Mängel hat. Positiv: Das Laden ist einfach. Der Kopfhörer wird einfach nur mit den magnetischen Kontakten am Bügel auf das Metallgestell des Senders aufgelegt, Kein lästiges Gefummel mehr mit den Kontakten. Der Kopfhörer ist angenehm zu tragen. Der Klang ist gut, jedenfalls beim Fernsehen. Wie es beim Musikhören aussieht, habe ich noch nicht überprüft. Lediglich eine Weihnachts-CD habe ich einmal kurz ausprobiert, mit der ich bei einem anderen Funkkopfhörer mal Probleme gehabt hatte. Da wurden leise Passagen nicht übertragen. Bei diesem Kopfhörer trat das Problem aber nicht auf. Chor- und Klassikfans können dieses Gerät also gebrauchen. Die meisten Tasten sind gut tastbar, ausgenommen der Hebel am Sender, mit dem man den Frequenzbereich einstellen kann. Der Kopfhörer kann also auch von älteren oder behinderten Menschen bedient werden. Das Audiokabel ist relativ lang, sodass man den Kopfhörer auch für zwei Wiedergabegeräte wie z. B. Fernseher und PC nutzen kann, wenn sie nahe beieinander stehen. Die Wiedergabe startet sehr zügig, kurz nach dem Einschalten. Negativ: Die Verarbeitung ist nicht sehr hochwertig. Vor allem das Innenfutter der Hörmuscheln, das die Lautsprecher abdeckt, ist sehr dünn. Das Audiokabel ist fest im Sender verbaut. Das ist nicht unproblematisch. Wenn das Kabel seinen Geist aufgibt, kann man das ganze Ding wohl wegschmeißen, denn eine Reparatur lohnt sich bei einem Gerät in dieser Preisklasse nicht. Nachhaltig muss irgendwie anders. Das Netzkabel ist für meinen Geschmack ein bisschen zu kurz. Die Netzbuchse ist schwer zugänglich. Es kostete sehr viel Mühe, das Kabel einzustecken. Der Sender ist etwas wackelig, weil er sehr schmal und hoch ist. Die Bedienungsanleitung muss, wie leider so oft bei Elektrogeräten, im Internet abgerufen werden. Blöd, wenn man kein Internet hat, was ja bei älteren Menschen durchaus vorkommen kann. Es wird nur eine Kurzanleitung mitgeliefert, die die Inbetriebnahme aber nur bildlich beschreibt. Das ist für Sehbehinderte und Blinde nicht zu gebrauchen. Ich bin mal gespannt, wie lange der hält. Mein bishe",1
"# Beweggrund des Kaufes Meine Tochter wollte gerne eine neue Tauchmaske mit Schnorchel. # Lieferumfang und Zustand Die Maske wurde mit losem Schnorchel, Ersatzdichtungen, Halterung für Gopro und einem Beutel mit Verschluss geliefert. An der Maske befinden sich auch noch 2 Ohrstöpsel für die es an der Vorderseite der Maske Halterungen gibt. # Erster Eindruck und Verarbeitung Die Maske macht einen sehr hochwertigen Eindruck. Alles passt sehr gut zusammen, man hat das Gefühl, da hat sich beim entwickeln jemand richtig Gedanken gemacht. Den Sitz der Maske kann man mit den zwei breiten Gummibändern sehr gut einstellen. # Fazit Nach dem ersten Einsatz im Schwimmbad sagt meine Tochter (10 Jahre): „Ich finde die Maske sehr gut, sie drückt sich nur unter Wasser stark an das Gesicht.“ Ich denke dass ihr die Maske noch etwas zu groß ist. Während der ganzen Zeit im Wasser, ist die Maske nicht angelaufen. Nach dem Schwimmen kam die Maske zum Trocknen in ihre Aufbewahrungstasche. # Bewertung: 4 Sterne weil: Meine Tochter ist einmal aufgetaucht und hatte Wasser in der Maske. Da ich mir nicht sicher bin ob das Wasser seitlich in die Maske eingedrungen ist oder durch den Schnorchel kam, kann ich bis jetzt nur 4 Sterne geben. Wenn wir mehr Erfahrungen gesammelt haben, werden wie diese Bewertung ergänzen! # Weitere Fragen beantworte ich gerne. Wenn ihnen diese Rezension weitergeholfen hat, dann würde ich mich über einen klickt auf „nützlich“ sehr freuen, Danke!","Es wurde vom alten PC Spiel wirklich nichts geändert, geschweige denn verbessert, weder die Steuerung, noch das Menü und die Grafik ist einfach out of Time... Wer kein Fan von retro Spielen ist, besser sein lassen.",0
"Die Folie haftet gut,Keine Anleitung dabei.Auf jeden fall kann man da eine Hauchdünne Folie abziehen und dann haftet die folie herforragend","An sich eine schöne Idee, da es viele Funktionen hat (quitschen, einen Knoten), aber ist leider vielzu unstabil. Hat nicht lange gedauert und der Hals der Ente war aufgerissen. Fazit gute Idee aber nicht robust genug.",0
Hat nur knapp ein Jahr gehalten. Jetzt fahre ich lieber mit etwas hängender Kette ohne Spanner.,Rasche lieferung hält was es verspricht.,0
"Der Diffuser wird gut verpackt verschickt und macht beim Auspacken einen guten soliden Eindruck. Auch wenn der Luftbefeuchter aus Plastik ist vermittelt die Optik Hochwertigkeit und wirkt trotzdem sehr robust. Insgesamt kann man den Diffuser mit bis zu 300 ml befüllen, ich würde jedoch empfehlen etwas weniger Wasser einzufüllen. An dem Gerät befinden sich zwei Tasten - die Linke ist die Lichtsteuerung und die Rechte für die Dampfregulierung. Die Steuerung der Dampfregulierung ist leider nicht intuitiv, somit ist ein Blick in die Anleitung notwendig. Ansonsten funktioniert das Gerät soweit einwandfrei.","Kein Schlechtes Produkt, aber schluckt viel Zippo Benzin",1
Die Halterungen in Kombination mit einem kleinem Kabelkanal sehen super aus. Die Montage ist aber wenig friemelig aber trotzdem schnell erledigt.,Die Reinigungstabletten sind sehr effizient.,1
"Dieses Produkt ist super zum Basteln, wenn es nur leider nicht nach 2 Klebestäbe defekt gegangen wäre. Nach Kontakt mit dem Verkäufer wurde man nur damit abgespeist man solle sich an den Hersteller wenden.... Wieso verkauft ihr es dann überhaupt wenn ihr selbst nichtmal euren Artikel abwickeln könnt. Falls doch mal vom Verkäufer reagiert wird bin ich auch bereit diese Rezesion anzupassen.","Bequem sind diese Schuhe doch, aber leider schwitzt man schnell",0
Ein Plug spielt nicht mehr. Der Empfang funktioniert leider nur auf sehr kurze Distanzen (Handy in Jackentasche). Ein Verdrehen des Kopfes führt zu Aussetzern. Verkäufer reagiert wiederholt leider nur mit Reset-Empfehlungen.,"Das Armband ist sehr süß, leider ist das Band aus so einem glatten Material das es sich ständig von selbst weitet und die Knoten sich öfters mal lösen.",1
Etwas enttäuschend dass es keine neuen Illustrationen sind und nur nicht zusammenhängende Abbildungen von den Geschichten von Pip und Posy sind die wir sowieso schon besitzen.... schade... hatte mir etwas mehr erwartet...,Der Fahrradanhänger ist zu billig. Er löst sich vom Fahrrad. Habe ich nachgearbeitet. Er soll nur für eine Tour halten.,1
"Ich liebe die Bettwäsche von Bierbaum, diese ist bereits meine vierte. Die Farben sind schön kräftig und harmonieren gut miteinander. Auf der Haut fühlt sie sich wunderbar an und verliert auch nach einigen Monaten waschen nicht ihre Beschaffenheit. Jetzt bin ich gut ausgestattet!",Meine Katzen fahren total darauf ab. Besonders mein Kätzchen liebt es. Finde es toll für den Preis so eine Auswahl und so eine Qualität bekommen zu haben!! :)),1
Die Haken kamen völlig verkratzt und mit abgeplatzter Farbe an. Leider keine Kaufempfehlung.,"Der Engel sah auf der Abbildung sehr viel schöner aus. Als ich ihn aus der Verpackung nehmen wollte, vielen schon viele goldene Steinchen/Pailletten raus. Sehr schade. Habe den Engel wieder zurück geschickt.",1
"Lieferung wurde vor der Tür abgesetzt, musste es selbst hochtragen im dritter Stock. Sonst ware gut.","Preis ist okay, nur leider kein verlass ob Handy, Tablet ect. aufgeladen wird. Mal waren unsere Geräte aufgeladen mal aber auch nicht. Haben Station zurückgesendet. Vielleicht hat unsere aber auch nur eine Wackelkontakt gehabt. Habe keine neue geordert!",0
Das Produkt kam heute an. Sehr schlechte Herstellerverpackung ohne Polsterung. 1 Glas war völlig kaputt. Die anderen sind nich gerade schön verarbeitet aber erfüllen wenigstens Ihren Zweck. Kann ich nicht weiterempfehlen,Das Produkt erfüllt voll und ganz seinen Zweck. So lassen sich die Gläser und Flaschen gut beschriften. Die Optik wird dadurch aufgewertet.,0
"Als ich die Black Liner anfangs ausprobiert habe, dachte ich: Wow, nie wieder was anderes! Aber nachdem sie jetzt einige Zeit gelegen haben und ich sie benutzen wollte, lief die Tinte vorne aus der Spitze heraus und es bildeten sich regelrechte Bläschen. Ich bin sehr enttäuscht darüber, da diese Liner auch nicht grade billig sind. Ich werde sie mir definitiv nicht noch mal holen. :(",LED streifen Licht ist nur für Innenräume geeignet. Das Licht ist gut und die Farbe kalt weiß ist sehr schön. Es gibt einen Schalter wo mann die Licht stärke verstellen kann. Die Qualität ist gut bin zufrieden.,0
"Schöne Bilder und auch super Licht. Leicht einzustellen, viele Klingeltöne. Uhr geht leider zu schnell schon 1 min nach. Stört aber nicht, da mein Sohn das immer im Blick hat :-)","Kann mich dem Kommentar von Otto Normalverbraucher nur anschließen. Jede lasche war neu zu biegen, da das sonst überhaupt nicht gepasst hätte. Habe nach 10 minuten (etwa ein halbes Regal) alles hingeschmissen. Meine Frau hat die dann fertig aufgebaut. Nächstes mal geb ich ein paar euro mehr aus...",0
Die Ärmel sind zu kurz geschnitten und der Stoff sehr steif. Für das Geld darf man nicht zu viel erwarten.,"Wir sind sehr gut zu frieden mit Gardena. Super Rechen ,unverwüstlich-wie von Gardena gewohnt.",0
"Kann mich dem Kommentar von Otto Normalverbraucher nur anschließen. Jede lasche war neu zu biegen, da das sonst überhaupt nicht gepasst hätte. Habe nach 10 minuten (etwa ein halbes Regal) alles hingeschmissen. Meine Frau hat die dann fertig aufgebaut. Nächstes mal geb ich ein paar euro mehr aus...",Schnelle und einwandfreie Lieferung !,0
"Das war ein Betrug, der Strandkorb wurde nie geliefert.",Nach nur wenigen Monaten Benutzung haben sich beide Seiten des Tragegurtes gelöst.... Und der Verkäufer weigerte sich die Tasche zu reparieren oder zu erstatten... schade... aber so nicht nochmal.,1
Leider nach 4 Jahren und wenig Benützung schon der Heizstab defekt!,Nitro Verdünnung eben macht was sie soll Preis/Leistung passen!,0
"Genau wie ich es mir vorgestellt habe, größe ist perfekt jedoch sind die zahlen 1 & 2 beschädigt, was mich etwas enttäuscht hat 🤔","Es ist ok, aber nicht mehr!",1
Dieser Stift sieht nicht nur hübsch aus sondern schreibt auch noch echt gut. Ich werde ihn mir wohl noch in mehreren Farben zu legen.,"ich war total enttäuscht ... 3 Liebesgeschichten .. da war aber nix zu spüren... schlechte Schauspieler und eine kitschige banale Story. Ein zweiter Stern für die Kostüme, die waren teilweise super.",0
"Schon lange bin ich interessiert an Nicer Dicer, aber erst der Chef bzw. die Glasschüssel und die breite Form machten es für mich interessant. Die Deckel passen perfekt und die zwei Schüssel eine Glass eine Kunststoff sind wunderbar Groß passen perfekt in den Offen bzw. auch in den Kühlschrank. Wirklich perfekt macht es aber erst der Tomatenschneider, alle Arten von Tomaten weich und harte passen perfekt drauf und durch. Selbst die Frühlingszwiebeln, Möhren, Schafskäse, Schinken usw. alles super einfach und auch genial zu reinigen, durch den Knopf im Deckel. Der Nicer Chef ist die perfekte Ergänzung in meiner Küche.","Tolle Matratze für unser Laufgitter fürs Baby. Unser Kind schläft sehr gut darauf. Wenn kleine Missgeschicke passieren, kann man den Bezug mit waschen. Super 😊",1
und hat sich nicht zurückschicken lassen,"Leider mussten wir die Ware stornieren, da wir nach einer Rechnung Anforderung mit geteilt bekommen haben, das leider keine Rechnung ausgestellt werden kann. Daher wieder zurück.",1
"Leider nach 2 Monaten schon total ausgeblichen, sonst alles gut!",Die Lieferung war schnell. Aber das wars auch schon. Die Ohren haben bei mir keinen festen Halt bekommen. Dauern einen verloren. Musste dann doch auch die zu klebende Version umsteigen.,1
Die Ware kam gar nicht erst an...,"erfüllt seinen Zweck, gut um platzsparend CDs und DVDs unterzubringen.",0
Ich liebe es einfach das ist das zweite mal das ich hier schon bestellt habe und bin Mega glücklich jedesmal über diese Entscheidung. Die Qualität ist der Hammer,"Schnell geliefert, Aufbau ohne Probleme. Wer im Winter etwas für die Fitness in den eigenen vier Wänden machen mag ist mit dem Gerät gut bedient. Preis Leistung Top!",1
"habe ihn es erste mal beim Griechen getrunken und war gelich von diesem Wein angetan.Seid dem trinke ich kaum noch andere Weine,keiner schmeckt so gut wie dieser","Ich bin von der Drohne begeistert. Meine 7 jährige Tochter fliegt damit. Drinnen fliegt die sehr gut und die 5 min. Flugzeit reichen in der Regel völlig aus. Das sich darin Haare verklemmen und die Drohne sehr schnell kaputt geht habe ich bei dem Preis nicht anders erwartet, aber Stürze aus der Decke auf den Boden, egal ob Fliesen oder Teppich, sind kein Problem. Bei Fragen netter Kontakt.",1
"Dies war als Geschenk für unseren Sohn gedacht. Leider wurden die Nägel nicht mitgeliefert, da war die Enttäuschung natürlich groß.","Ich habe die Audi-Aufkleber in rot bestellt und zwei mal hintereinander in pink zugeschickt bekommen, anscheinend gibt es diese Farbe gar nicht. Sehr unprofessionell.",1
Das Schild an sich sieht sehr schön und auf den ersten Blick wertig aus. Beim anschrauben an ein Holztor platzte gleich an zwei Ecken die Farbe großflächig ab. Und das auch noch bei geringem Kraftaufwand. Das kanns ja wohl nicht sein!,Nach wenigen Tagen ist der Schlafsack nicht mehr sehr bequem,1
"Grauenvolle Staffel! Die 7. Staffel war schon schlecht, aber das ist die Krönung! Ich kaufe keine 9. Staffel! Für mich ist TWD gestorben!","Habe die Kette nie erhalten, obwohl ich lange darauf gewartet hab, nichts kam. Also wohl lieber nichts bestellen hier. Wirklich schade Eigentlich nicht mal ein Stern",1
"Absolut schlecht. Produkt bestellt, sollte am 6. Juni ankommen, ist nie eingetroffen. Bestellung ist nun storniert. Stand 24. Juli Nicht empfehlenswert",Vorsicht die Schuhe sind Fake und nicht original von Nike! Allein schon der weiße Karton statt ein Nike Karton hat mich stutzig gemacht. Beim auspacken dann Fake Schuhe ohne die AIR Schrift hinten und untendrunter. Total schlecht verarbeitet überall Kleberreste und billiges Material.,1
"Eigentlich null Sterne. Nachdem der Artikel fälschlicherweise aus UK nach Deutschland an eine Packstation geschickt wurde, wollte ich den Fehler rückgängig machen, die Sendung umleiten. Allein der Anbieter meldet sich nicht, weder auf eigene noch auf Anfragen von Amazon. Wahrscheinlich wurde der Controller noch nicht mal verschickt. Aber Geld einkassiert. VORSICHT ABZOCKE durch Lager Rabatte.",Passen und funktionieren top,0
