sent1,sent2,is_duplicate
"Bien la première année mais le spa se perce petit à petit sur le boudin malgré un bon stockage à l'abri cet hiver, je suis donc très déçu car il n'aura fait qu'une année","le produit est joli et bien fini, dommage que les modèles proposés avec la notice ne soient pas en couleur pour aider l'enfant",1
"Très peu utilisé, vu le printemps pourri que l’on vient d’avoir... Mais le plastique des branches se décolle déjà au bout de 3 mois Verre ok, mais un peu déçu quand même...","Trop petit, pour enfant de 2 ans ?",1
je n'ai pas reçu le produit j'ai un livre à la place . un vendeur à éviter absolument,"Je n’ai jamais reçu le colis. J’ai écrit 4 fois au vendeur, il ne m’a jamais daigné me répondre ne serait ce une fois. Ils ont encaissé l’argent. C’est une belle arnaque et du vol. Je vais aller porter plainte à la gendarmerie contre ces vendeurs pour vol et escroquerie.",1
Clé très facile à installer avec un signal wifi excellent rien à dire,"Fonctionne parfaitement, j'en ai un usage professionnel, il est solide peu encombrant.",1
"Colis reçu avant le temps imparti, c’est le point positif de cet achat. Le gros bémol c’est que je l’ai reçu endommagé le bouchon d’une des bouteilles étant cassé le produit c’est déversé dans le colis rendant le lissage inutilisable. Dommage j’ai contacté le sav, affaire à suivre je vous tiens au jus !",un tres bon album pas une copie un vrais artiste une voix trés proche de celle du taulier mais ce n est pas lui pas une pale copie un chanteur a part entière a découvrir sans modération je recommande trés vivement !!,0
Très bon appareil photo des images et des vidéos au top ! Par contre je mes 2 étoiles parce que avec un compte prémium la livraison est rapide mes la je l’ai attendu pendant 2 jours supplémentaires....,J'ai commandé cet article et j'ai reçu une boule solaire blanche non similaire à la présentation! Dommage car non ressemblant à la présentation.,1
"Je ne peux pas faire de commentaire sur le produit commander 2 fois non recu Déçu d Amazon, c'est est la 2 ème fois et je ne commanderais plus sur ce site.","satisfait, mais livraison un peu tardive",0
"le verre ne colle pas sur la périphérie du téléphone, pourtant taillé plus court que le verre original.( voir photo jointe) j'ai utilisé les 3 en espérant en avoir un avec un collage sur toute la surface, mais rien. encore un achat inutile qui me coûte une fois de plus pour aucun service. a bannir pourtant estampiller ""choix Amazon"" ça doit être que commercial a mon avis. Très déçu",Deux ne fonctionnent plus au bout de 24h. Il faut les secouer pour qu’elles fassent de la lumière. Déçu car les 2 autres répondent aux attentes.,1
"J'ai reçu le colis sans suremballage, à même la carton! L'étiquette de suivi était collé directement sur le carton du jeu ainsi qu'une écriture au marqueur.Le carton est donc abîmé, le jeu est donc peu présentable pour offrir!",Coque basique vendue ici trois fois plus chère que sur aliexpress. Vous savez ce qu'il vous reste à faire !,1
J'ai jamais reçu le produit je suis en colère contre Amazon rendez-moi mon argent je suis pas content,"Parfait produit convient parfaitement pour clé de 208, épais donc solide 👌🏻👌🏻",0
"Reçue très rapidement, parfaitement emballée et avec un charmant petit mot de remerciement, cette jolie maisonnette (de belle taille) va faire le bonheur des oiseaux du jardin qui étaient à l'étroit autour de l'ancienne mangeoire...","Juste recu et testé ce matin. Eclairage très puissant, pique un peu les yeux à trop regarder !!! le bouton power est un peu capricieux .. des fois il allume, des fois il sélectionne le mode .... idem pour eteindre Mais globalement, et pour le prix payé pendant le black friday, vraiment que du positif. Meme a 10 euros, j'envisage fortement d'en prendre 1 pour ma fille. A voir, maintenant, comment cela va fonctionner dans le temps !! plus on avance dans la journée et plus le bouton power fait ce qu'il veut ... ca commence à sentir le retour SAV Après quelques semaines d'utilsation, cela fait deux fois que le plastique ce casse en deux. Le SAV me l'as remplacé une fois, mais quand même ... je déconseille si votre tube de selle esr plus large que la normale",0
Dimensions ok Pas de matin antidérapant faible hauteur dommage,"Les couleurs sont beaucoup plus claires que sur la photo. Transparentes légèrement teintées donc pas de grande différence entre certains pots. Et surtout : 3 des pots sur 12, la pâte était altérée : liquide autour + semi dure. Donc 3 inutilisables.",0
"Tout est parfait, dommage que l'emballage est celui de la machine, pas top quand c'est un cadeau (pas mal abimé quand même)",La coque est de bonne qualité mais il elle laisse un peu de jeu autour du téléphone ! Dommage! J'ai renvoyé l'article pour prendre une autre marque,0
Pas top ca se decolle tout le temps,"Fait de grandes gaufres de qualité, à la fois moelleuses et croustillantes. Gaufrier simple d'utilisation et cuisson des gaufres rapide. Je recommande ce produit.",0
"Il manque la visse permettant de relier le socle au poteau, l'objet n'est donc pas utilisable et l'un des 2 jouets est cassé. Dépense inutile.","Le fait qu'ils puissent supporter du poids est un plus 5 étoiles. Mais demander à percer les enceintes pour fixer des vis, là les gars, c'est une honte ! Parmi tous les ingénieurs du monde, il n'y en a pas 1 seul qui est capable de concevoir des supports d'enceintes sans les abîmer ! Depuis le temps que les enceintes existent ! Hallucinant ! A modifier en changeant les plaques et en soudant. Donc, aucun tout faire soit même..",1
Vous pouvez passez votre tour. Il n'y a rien dans ces boules qui mérite une attention. C'est plus que décevant,Je suis plus que contente de mon oroduit reçu aujourd'hui en surper état et Ellle et super belle merci au vendeur,0
"Profiter des promotions pour acheter l'anthologie Rocky, je dis oui ! Par contre, je ne pensais pas que prix réduit voudrait dire qualité d'image réduite, pourtant... C'est bien dommage.","Il m'est demandé pour quel usage ai-je commandé cette cartouche...ça me paraît évident! Pour le reste: reçue dans les temps prévus, parfaitement conditionnée...il faut à présent voir lors de l'utilisation.",0
"Au début super contente et au bout de deux jours, les bords se sont fendus, je déconseille. J'ai renvoyé et me suis fait remboursé",J'ai acheté ceci en espérant que mon ordinateur chargerait. Il s’avère que c’est le port qui était en panne et non le chargeur. Mais c'est un bon produit,0
Cet article n'arrive pas à trancher une pomme de terre malgré une pression importante ! Les lames ne sont pas assez affutées !,"ne fonctionnait pas correctement , le produit a été remboursé",1
Ces pinces sont très efficaces pour assembler des tissus en couture sans laisser de marque d'aiguille. Retrait rapide lors de la couture à la machine.,Reçu avec emballage tout abîmé,0
"Très déçu ! Il manque le masque, les ailes et les gants alors qu’on les voit sur la photo et que c’est écrit sur l’emballage ! Je me suis senti escroqué. Et ma fille de 5 ans a pleuré...",J'utilise pour faire des glaces au jus de fruits très pratique a utiliser j'ai mis seulement 4 étoiles car un des moules s'est fendu mais pour le prix faut pas hésiter,0
Pour en avoir un et se souvenir des gilet jaunes plus tard,pour une question de prix et de ne pas avoir a me deplacer,1
Si vous voulez abîmés les ongles de votre cliente c'est ce qu'il vois faut.,"c'est très jolie, c'est travail vite et pas grand brut, je suis très contant. utiliser facile, mais il faut bien protégé pour les enfant.",0
"Bonjour, j'ai contacté Amazon hier après avoir commencé à déballer le colis ou j'y ai trouvé des assiettes de cassées , on m'a demandé de renvoyer le colis , j'ai tout de même continué à déballer le reste et il s'avère que les autres assiettes du service sont cassées , en aucun cas je ne vous renverrai un colis avec toute cette vaisselle de cassée , d'autant plus que lorsque j'ai eu le transporteur , celui ci m'a dit avoir laissé le colis derrière la grille à l'extérieur (pour info il pleuvait, carton trempé , irrécupérable ) et ma grille étant assez haute, le transporteur à lâché le colis et celui ci était en vrac !!! Je vous demande donc de me rembourser ce colis , si je passe par votre site c'est parce que je n'ai pas le temps d'aller chez les commerçants et de ce fait pas le temps de me rendre dans un bureau de poste ou tout autre pour renvoyer ce colis, mon emploi du temps ne me le permet pas. Je compte sur votre sens du commerce afin de satisfaire ma demande. En attente d'une réponse de votre part je vous souhaite une excellente fin de journée",Juste parfait pour ceux&celles qui veulent bosser sur des outils graphiques simples tels qu'Autodesk. Ne rame presque pas pour des fichiers relativement lourds.,0
"Bonjour, J'ai mis cette note pour la globalité de la transaction et du produit en lui même. Ce que j'aime: La taille est réglable et je peux l'utiliser avec mes plusieurs téléphones sans problème. Ce que je n'aime pas: Dans l'immédiat je n'ai à dire sur un éventuel problème, ou autres. Conclusion: Simple, rapide, bonne qualité, léger, efficace, simple d'utilisation, bref il rempli parfaitement son rôle. Merci au vendeur et à Amazon comme toujours pour l'efficacité des transactions. Si vous trouvez mon commentaire utile , vous pouvez m'aider en cliquant sur ""OUI"". Cordialement.",Bin produit mais pas conforme a l image il manque le cylindre noir,0
"Bien pour le prix, fonctionne très bien.","Pas terrible - c'est plutôt une chronique ou une nouvelle. Il n'y a pas d'action en tant que telle. L'héroïne, une jeune avocate ayant toujours vécu en ville, donne l'impression qu'elle ne veut pas bosser et se jeter dans la bataille. A la longue c'est énervant. Sinon l'histoire pourrait être prenante. Nous somme toujours dans l'univers de Grisham qui décrit très bien son contexte et l'ambiance de l'histoire. Peut-être aurait-il dû la raconter à partir d'un autre personnage.",0
"Trucks de mauvaise qualité ,dommage car le look est sympa la planche par elle-même est bien néanmoins roues et trucks de piètre qualité","Rien à dire, un livre pour les fan et pas que, de tout dedans et une vrai découverte sur certaines recettes",0
"Produit correct sans fluor pour enfant. Je suis satisfaite de ce produit, mais dommage que le dentifrice ne mousse pas, sinon à part ça rien à dire.",Tarif élevé pour ce que c'est mais c'est mignon et ça a plu à ma fille de 7 ans. Ca a l'air de qualité.,1
"j'adore le collant est agréable , les oreille du chat tombe juste aux genoux donc la taille un peu petit.","Coque conforme mais ne vous attendez pas à de la qualité : au moindre petit choc, la coque se casse (deja cassée aux 4 extrémités alors que j’en prend soin) + le dessin a l’arriere s’efface avec le temps (1 mois que je l’ai et déjà bien effacé) bref, honnêtement je déconseille l’achat même si le prix est tentant, de plus, amazon pue la merde sur certains points, allez faire marcher les commerçants alentour bonne journée",0
Après 2 ans et 3 mois HS... fuite cuve... lamentable pour une marque comme Calor,"Elles fixent un plateau en verre de 100cm sur un support en fer. Les vis permettent sans soucis de les fixer au pied et en retournant le boulon, vous pouvez ainsi augmenter la taille de la vis. Très content",0
Confirme a mes attentes j'en ai juste recu 2 cassé pendant l'envoi Hyper fragile et envoyé dans un carton sans protection dommage,J'utilise pour faire des glaces au jus de fruits très pratique a utiliser j'ai mis seulement 4 étoiles car un des moules s'est fendu mais pour le prix faut pas hésiter,1
"Produit bas de gamme , a eviter","Très complet, très bien",0
Très bien reçu très bon produit très simple à installer et je comprends pas trop les commentaires effectivement c'est une qualité qui s'émiette au bout d'un certain temps mais ils moi ils m'ont quand même fait 3 ans et demi et je le porte tous les matins en passant l'aspirateur je pense que c'est la transpiration qui fait cela mais si je dois le changer tous les 3 ans et demi c'est plutôt raisonnable au vu du tarif je pense que si on ne transpire pas dessus il ne se met pas car ma sœur qui a le même casque que moi acheter en même temps les siens ne se sont pas émis été parce qu'elle ne l'utilise pas de la même façon que moi,"écran de protection assez facile a mettre mais très fragile, j'ai cassé le premier. La protection est un peu plus petite que l'écran, mais ça n'a pas beaucoup d'incidence, correspond au prix payé.",1
"roulettes pour portes de douche ,mauvaise qualité on très vite rouillées et sont bloquées. a éviter",Trop tôt pour l'évaluer,0
"Désolé, je ne sais pas où faire ma réclamation, mais le produit a été marqué comme livré dans ma boite aux lettres, mais je n'ai jamais rien reçu. Ou puis-je faire ma réclamation? Cdt","J'en ai acheté beaucoup, et même si j'aime ces stylos, je constate qu'ils s'épuisent très rapidement.",0
pour allumer j'ai toujours besoin de basculer le bouton deux fois....ouf il faut améliorer le control,produit très bien :-) emballage tres bien :-) utilisation facile et très bien :-) prix très bien :-) merci encore,0
"Bonjour, nous avons acheté cette calculatrice en aout 2018, au bout de quelques temps nous n'avons plus réussi à imprimer, vous nous avez envoyé une nouvelle calculatrice et nous rencontrons le même problème, elle n'imprime pas non plus, que faut-il faire ? merci d'avance","Lot de 6 paires de chaussettes, top grande par rapport à la taille commandée. Aucun maintient au mollet ( retombe). Hormis le logo Puma, ce sont des chaussettes quelconques. Elle sont inconfortables et glisses au bout du pied dans la chaussure. Si je n'avais pas porté une paire, c'est retour Amazon.",1
De bonne qualité et peux se régler pour toute les tailles de tête,Bon produit nettoyant,1
Assez déçu de la qualité du produit il n'y a rien qui retient le bloc de prises lorsqu'ils se replient et la collerette supérieure qui le maintient s'est cassé au bout de 4 mois d'utilisation,Bonne protection pour mon Huawei mate 20 pro,0
"Arrivé abîmé et griffé, je le garde car j’en ai besoin mais je suis déçue","Tres jolie bouee, qui n'aura connue que 2 baignades malheureusement, s'est tres rapidement dégonflée d'elle meme sans trou apparent et malgré les recherches. Sans doute un défaut de jointure.",1
Très déçue je pensais avoir acheter un cosy je me retrouve avec un capot et pas de cosy quelle arnaque!!,De très bonne qualité !,0
Cet outil m'aide amplement et m'épargne des batteries à changer ou recharger. Je le recommande fortement à tous ceux qui ont un tensiomètre Omron,"livré dans une simple enveloppe plastique; un peu limite... d'où mon étoile en moins, mais fonctionne parfaitement !",1
"Déçu par le manque de basses. Sinon écouteurs très légers. Etui de transport et de charge compact et astucieux (comprend une batterie pour recharger les écouteurs sans être branché électriquement). Donc au final déçu par le son que je trouve moins bon que avec les écouteur filaires AKG fournis avec mon Galaxy Note 8. 2 jours après, je modifie mon avis en rajoutant 1 étoile car avec le mode Dynamique de Galaxy Wearable, un son cristallin. Très légères à porter de plus. Bref compense le manque de basses (oubliez le mode ampli. Basses, risible). Top.","Erreur dans la description, 6 spots livrés au lieu de 8 annoncés.",0
"Le produi semble fonctionner. Comme j'avais acheté 4 ecig eleaf i just 2 et que les batteries n'ont fait qu'encombrer mon buffet, je souhaitais utiliser les atomiseurs avec mes batteries ego qui fonctionne, ellles., Cet adaptateur est fait pour être utilisé avec des batteries eleaf et les atomiseurs ego, juste l'inverse de ce que je souhaitais. Ceci n'est pas précisé.","J'ai acheté ces boîtes pour ma femme afin de changé ces boîtes plastique . Rien à dire elle sont vraiment pratique avec leurs couverts déjà intégré par contre je confirme que des vrais couverts ne rentre malheureusement pas mais ceux fournis sont plutôt costauds donc parfait . Le nettoyage pareil, le verre est beaucoup plus pratique à nettoyer ça accroche pas même après plusieurs usage et elle passe à la machine . Pas de problème d'étanchéité à signalé . Je recommande sans hésité .",0
Un vrai bonheur beurré moilleux Livraison impeccable Merci,en remplacement d'un balai défectueux la livraison a été rapide . le balai correspond bien a ma demande,1
enfin des poupées grosses et frisés,Cable puissance SATA beaucoup trop court en longeur (seulement 16 cm de longeur !!!!!!!!),0
Bonne malette mais la perceuse ne fonctionne pas bien sûr nous avons mis les piles...que faire ? Merci de votre retour,Reçu très rapidement,0
Magnifique mail ne faut pas l'allumer La cire coule et la teinte de la licorne part avec la cire Donc trop cher pour ce que c'est,"Article étant uniquement deux morceaux de plastique souple, sans outils pour installation (pour enlever la poussière, pour positionner le film plastique...) la notice d’installation fournie concerne un protège écran pour téléphone portable... déçue... je ne recommande pas.",1
Pratique de la même taille par contre même bien beurré la pâte à gâteau à tendance à resté accroché.,Trop beau il est très rigolo,1
"Acheté pour faire fonctionner alternativement un mini-compresseur dans le garage ainsi qu'une petite pompe, il est facile, simple et robuste. On branche et c'est parti. Cela rend bien des services, à voir dans le temps la tenue, mais le feeling de l'ensemble laisse à penser qu'il est solide et de qualité.",achat de ce produit car celui d origine est hors service bon produit conforme mais un peu onereux,1
l'article correspond bien à la photo,Tres contente du produit bon suivi du vendeur je recommande arriver vite et tres bien emballer super genial pour un cadeaux,1
Utilisez en cartouche compatible sur une HP fonctionne très bien !,Correcte mais pas miraculeux ni très confortable mais reste un moyen de réduire les ronflements,0
envoi tres rapide cable conforme pour mon appareil,"Facile d'utilisation, bon rappot qualité prix. Je le conseille.",1
Meuble très beau mais vraiment déçu très petit la moitié de mais papier ne rentre pas on met pas grand chose c'est vraiment dommage,"Bracelet trop rigide pas assez souple et difficile à fermer seule. mauvaise imitation du bracelet pandora, rien de plus à ajouter",1
Dvd abîmé comme déjà utilisé lecture très difficile,Première utilisation: pommes de terre en tranches - Tranches mal coupées - Pire! Le pouce profondément entaillé Conclusion l'appareil mis à la poubelle.,1
Bon prix pour bon son un peu léger en volume pour ma part. En revanche ne tiennent pas très bien pour le sport et ont tendance à glisser avec l'humidité. Blessent les oreilles sans mousses de protection.,J’ la matière manque un peu de hauteur,1
"trés mauvais produit, le produit provoque une sensation de brulure , on peut dire que je l'ai dans le c.l ( c'est fait pour mais bon) car j'ai balancé les deux tubes à la poubelle, le produit vient de Roumanie et je suis sur n'a subi aucun contrôle, Amazon devrait etre un peu plus vigilant Je suis déçu A ne surtout pas acheter",Très pratique facile d’utilisation,0
"Très bon produit !! Très Compact et léger pour les treck! Déjà un an et demi que je l utilise ,la bâche n a pas perdu de son efficacité !! Je recommande a 200%",Pas su puissante que cela,0
"Super! Mon petit garçon a adoré! Petit bémol, les velcros ne tiennent pas bien. Mais cela se répare très bien!","Parfait produit convient parfaitement pour clé de 208, épais donc solide 👌🏻👌🏻",1
Haï plus emballage vous rembourse j'ai du la couper pour savoir aussi,"Grand Tapis assez large pour votre souris et votre clavier, très beau design, des matériaux de qualité utilisé, très bon grip, malgré vos mouvements le tapis ne bougera pas. Je vous le conseille fortement, conforme aux descriptions, entièrement satisfait.",0
"Scratch du masque à peine coller 1er utilisation déjà le scratch c'est enlever à revoir au niveau des finitions. Le scratch de la queue devrait être plus ""collant""","Je ne trouve que 9 couleurs, parmis les 16 proposées, si je prends la colonne Red, je commence en bas à gauche par le jaune, puis orange clair, orange foncée ne fonctionne pas, puis viens le rouge. C'est pareil sur la colonne Green, et Bleu .... Les couleurs présentes sont belles La télecommande du 30w fonctionne de la même manière que la 10w Amazon peut-il m'expliquer s'il y a panne SVP ????",1
Rendu plutôt pâle et un rond lumineux de un demi centimètre apparaît sur un fond blanc Le textile n'est pas toujours ultra réactif come l'original,"Il est vrai qu'il n'est pas cher, mais tout de même ! Le colis est arrivé ouvert et déchiré. Il manque des pièces dans le colis, j'ai du ""bricoler"" avec des boulons et des écrous que j'avais pour pouvoir le monter. Une fois monté, le poids des projecteurs fait qu'il bouge dans tous les sens et la stabilité du pied laisse à désirer. Je pense qu'il ne va pas tenir le coup très longtemps ! Si vous devez en acheter un, je vous conseille d'opter pour une catégorie supérieure afin d'avoir une meilleure qualité.",1
Noter sur la commande livrer ce jour dans la boîte au lettre hors il y a rien du tous de livrer,Très jolis bracelets simples. Juste une petite erreur sur un bracelet: j’en ai reçu 2 pareil au lieu d’un bracelet prévu spécifique.,0
Six boules dans la tambour avec du linge qui avait des poils de chats : aucun poil sur les boules !,"Excellent rapport qualité/prix. Ce modèle est silencieux, efficace avec plusieurs modes de fonctionnement permettant un réglage adapté à la pièce. Le petit bémol se situe au niveau du bac pour récolter l'eau. 3 litres, c'est vraiment peu, et il faut régulièrement le vider (après +/- 8h dans une pièce humide)",0
Ne pas jouer avec car ils s abiment,Je n ai toujours pas été livré alors que ca fait un mois qui devait être livré cela est inadmissible,1
De très bonne qualité !,Très bon produit correspond à la description je recommande cet article 👍,1
Reçu avec emballage tout abîmé,Article au top !!! Je recommande. Et le vendeur est parfait . Repond très rapidement,0
"Le verre s'adapte parfaitement à l'écran du téléphone. En revanche dès le moindre coup, de multiples fissures apparaissent depuis la zone d'impact. J'ai changé déjà 3 fois ma vitre en 2 mois alors que je ne maltraite pas mon téléphone et qu'il n'y a pas de chocs/chutes. Pour ma part, je ne commanderai plus ce produit.",Je ne trouve pas le produit très efficace je l'ai pas mal utilisée sous la douche mais il n'y a pas d'effet de avant après,1
Coque conforme au descriptif. S'adapte bien. Solide. Alourdit un peu télephone. Gros - : reduit enormement le réseau ! Je ne peux pas m'en servir du coup...,La qualité est médiocre a usage intensif pour les petits pots de bébés ils ne dureront pas longtemps j’ai l’impression après les 5 formât différents sont pas mal mais les 2 plus petits ne servirons que les premières semaines ou bébé apprends à manger à la cuillère et après on sera pas quoi en faire car là contente contient une petite cuillère à café ou deux pour le volume du dessus ....,1
"Je n'ai toujours pas reçu mon article à ce jour, ça commence à faire trop long depuis le 13 décembre 2018 date de la commande, espérant recevoir mon article cette semaine.",fonctionne comme je le souhaite ( Renault Scenic 4 année 2019) avec logiciel Torque pro a acheté sur play store quelques euros et smartphone S9,0
"Heureusement qu'Amazon a le sens des affaires, je travaille comme ingénieur dans le développement mobile et je n'ai jamais vu une camelote comme celle ci, l'idée est bonne mais le composant n'est pas du tout au point, perte à 90% du tactile sur l'écran alors que je l'ai fait fixé par des professionnels habitués du milieu ..... En résumé, commandez sur Amazon, cette entreprise est au top, par contre n'achetez surtout pas cette camelote.....",Malheureusement les sorties FR et SR ne marche pas donc 2 enceintes qui ne servent à rien sinon le son est de bonne qualité dommage. Cartons jettes et retour à mes frais donc je vais garder comme ça,1
"J'ai installé ceci pour deux tiroirs de cuisine équipée... Aucune différence à la fermeture, aucune résistance ce produit ne sert à rien. J'ai installé un deuxième pour essayer à chaque tiroir et rien n'y fait, ne fait pas son job. Achat inutile...",Produit incomplet de très mauvais qualité de l'argent de mi à la poubelle,1
"L’éclairage est top Mais clignote au debut , reste à voir combien de jours ça va tenir",Je n'ai pas eu satisfaction avec ce produit. Aucun effet sur mes chat.,1
"très mauvaise caliter d'aricle, abime","a l arrivée super mais helas ça ne dure pas la fermeture ""velcro"" ne tient pas fermée .il faut la remplacer tres rapidement la encore tres deçu par la marque connue depuis longtemps",1
Article arrivé tout abîmé. Les bougies étaient cassées ou abîmées. Boîte écrasée alors que c'était un cadeau de Noël. J'ai jeté l'article à la poubelle.,"super rendu, bonne qualité mais attention un peu translucide en couches fines",0
"Ces feuilles sont des contrefaçons. J'ai commandé car ce sont mes feuilles préférées et j'ai tout de suite vu que ce n'était pas les mêmes que les vraies. Plus épaisses, goût de papier, alors que les authentiques sont justement très fines et sans goût.",Ce produit reçu répond totalement à mes attentes. La livraison rapide comme d'habitude. Bravo et merci.,0
"Bon produit Kryptonite, l'ouverture est simple, l'esthétique est bonne. Un petit reproche sur la longueur de ce produit que je trouve est un peu courte. Clément","Très bonne qualité. Attention par contre, elles taillent assez grand. Prendre une taille en dessous de préférence ! Très satisfait.",1
Correspond à la description,"Bof, bof !! Se déforme trop facilement et finalement trop gros pour mon Sennheiser Momentum On-Ear.",0
Noter sur la commande livrer ce jour dans la boîte au lettre hors il y a rien du tous de livrer,"Ne résiste pas du tout au soleil, photo prise après trois semaines dehors, vraiment de très mauvaise qualité.",1
"On ne l'entend pas sonné quand on est dans les machines ou dans un environnement un peu bruyant (malgré le volume a fond) et on ne m'entend vraiment pas bien au téléphone c'est chiant !, déçu de cet achat au bout de seulement 2 mois…..",Ces pinces sont très efficaces pour assembler des tissus en couture sans laisser de marque d'aiguille. Retrait rapide lors de la couture à la machine.,0
