Query,kb_label,Language,category_cod
hola buenas  os contacto por aqui por el tema de una incidencia que abrí la semana pasada  era acerca del bloqueo de mi cuenta  y que tenía dificultades para acceder a ciertas aplicaciones  hoy me ha funcionado perfectamente y no he tenido el problema que tenía antes de que se bloquease la cuenta  os escribía para que lo tuvieseis en cuenta ya que recibí un mensaje vuestro que os estabais intentando poner en contacto conmigo  gracias y u  saludo ,SAP Fiori & Registro de Jornada,es,19
outlook no se actualiza ,Correo Electrónico | Email,es,5
cuenta bloqueada en vpn,Contraseña  | Password,es,4
no puedo conectar el vpn,VPN,es,26
cómo aumentar mi volumen de datos en el teléfono móvil ,Móvil / Mobile,es,11
hola  estoy in mostoles  y tengo que upgrade my laptop porque no tengo acceso a mi email ,Correo Electrónico | Email,es,5
buenas tardes  mi compañero jorge simões    está con acceso a su pc de trabajo bloqueado porque no ha cambiado la password  ya ha hablado con vosotros que le han dicho que han enviado la nueva pass para el responsable pero nos gostaria saber para quién la han enviado  muchas gracias ,Contraseña  | Password,es,4
me podeis ayudar a acceder al departamental ,RIC | SIR (Departamental | Network Fold),es,17
como crear un ritm en unity ,UNITY,es,25
tengo la cuenta de sap  mandante  bloqueda y quiero desbloquearla ,SAP,es,18
no  dice que esta página no funciona  comparto pantalla ,UNITY,es,25
he realizado una petición para instalación de adobe acrobat pro dc y me consta como aceptada la solicitud  pero no aparece el programa en el centro de software,Adobe Acrobat,es,0
cambio de contraseña y no reconoce credenciales en skype,Contraseña  | Password,es,4
seguro  me gustaría saber como me podría bajar el microsoft ofice   no me aparece en el centro de software,Office,es,13
como descargo skype   necesito descargar skype y no aparece en el centro de software  como lo desccargo ,Skype,es,22
necesito crear un buzón ,Correo Electrónico | Email,es,5
activar office ,Office,es,13
cuenta bloqueada ,Contraseña  | Password,es,4
  repsol admin control ,Botón Admin / Admin button,es,2
quiero pedi una calculadora  quiero pedir una calculadora ,CITRIX,es,3
he cambiado de movil y no puedo abrir la aplicacion del workday,Apps móviles | Mobile Apps,es,1
he recibido un email sospechoso de ser un spam o virus,Correo Electrónico | Email,es,5
he generado una solicitud de permiso para que un usuario externo pueda logarse a través de pingid y resetear su contraseña  pero ha dado error que dice que esa cuenta no esta habilitada para el autoservicio de reseteo  qué debo hacer ,Contraseña  | Password,es,4
puede por favor desbloquear mi cuenta ,Contraseña  | Password,es,4
quiero restaurar un archivo de un departamental,RIC | SIR (Departamental | Network Fold),es,17
el movil de empresa no me conecta a red en la oficina ,Correo Electrónico | Email,es,5
se ha instalado una actualización en el smartphone y al reiniciar pide la instalación de sep mobile  es correcta la instalación ,SEP Mobile,es,20
        por favor  necesito que desbloquees mi usuario    en sap    gracias     ,SAP,es,18
  procedimiento configurar wifi repsol internet ,WiFi,es,28
seguro  me gustaría saber como me podría bajar el microsoft ofice   no me aparece en el centro de software,Microsoft Aplicaciones | Apps,es,9
es un operador de nueva incorporación y no tiene acceso a nuestro disco departamental y tampoco a la aplicación de gestión de permisos de trabajo,RIC | SIR (Departamental | Network Fold),es,17
necesito instalar visio,Visio,es,27
problema acceso a teams con mi movil,Teams,es,24
como puedo solicitar el   ,Microsoft Aplicaciones | Apps,es,9
necesito modificar los usuarios con acceso al buzón myexpat,Correo Electrónico | Email,es,5
no puedo fichar,SAP Fiori & Registro de Jornada,es,19
mi usuario es    carmen luna  no tengo acceso a sap por falta de ingreso al mismo,SAP,es,18
necesito instalar office    pero no me aparece en el centro de software,Office,es,13
al conectarme a vpn me dice que mi cuenta esta bloqueada,Contraseña  | Password,es,4
teléfono reten operation is,Móvil / Mobile,es,11
apoyo instalar power bi,PowerBI,es,16
no me deja cambiar la contraseña,Contraseña  | Password,es,4
acceso denegado a la página web del colegio oficial de ingenieros técnicos de madrid,Sharepoint,es,21
conexion vpn,VPN,es,26
no  contraseña ordenador,Contraseña  | Password,es,4
quiero cambiar la contgraseña,Contraseña  | Password,es,4
 por qué no me funciona la conexión a vpn ,VPN,es,26
quiero hacer google chrome el navegador predeterminado,Internet Navegadores | Browsers,es,8
hay acceso a unity desde el móvil ,UNITY,es,25
 como puedo cambiar el dispositivo de pingid ,PingID,es,15
buenas tardes  quiero migrar a windows  y el asistente me dice que si no tengo one drive que no continue y llame a la mar,OneDrive,es,14
tengo problemas de configuración con la red wifi,WiFi,es,28
necesito ayuda para añadir un buzón a outlook,Correo Electrónico | Email,es,5
quiero cambiar mi contraseña,Contraseña  | Password,es,4
tengo problemas conla wifi,Contraseña  | Password,es,4
tengo problemas para conectar la vpn,VPN,es,26
instalación sap fiori,SAP Fiori & Registro de Jornada,es,19
