Query,kb_label,Language,category_cod
necesito resetear mi contraseña de ,Contraseña  | Password,es,4
  quiero solicitar que se me asigne un rol de liberación de solpeds en sap ,SAP,es,18
 cuáles son las credenciales para entrar en adobe acrobat dc  ,Adobe Acrobat,es,0
qué hago si no funciona el  repsol admin control  y quiero instalar un programa  o hacer cambios en el firewall ,Botón Admin / Admin button,es,2
no me funciona el correo electrónico  no sincroniza,Correo Electrónico | Email,es,5
pendiente unity para cerrar,UNITY,es,25
usuario bloqueado en sap ,SAP,es,18
renovacion sap,SAP,es,18
no puedo firmar documento,Internet Navegadores | Browsers,es,8
cambiar contraseña red,Contraseña  | Password,es,4
hola  no puedo acceder a teams desde el móvil  añado la misma contraseña que el correo y me pone credenciales inválidas,Contraseña  | Password,es,4
en el correo me pone       ,Correo Electrónico | Email,es,5
mi tutor me solicitó acceso a power bi y no he recibido ninguna notificación ni el acceso,PowerBI,es,16
como puedo contactar con los tecnicos,MyMAR,es,10
hola  tengo problemas con citrix receiver  necesito ayuda para configurar citrix receiver en mi portátil,CITRIX,es,3
no me funcionan las páginas web  ni outlook  ni teams  me funcionan los departamentales y skype,Teams,es,24
solicito accesos a labware desde escritorio remoto,RIC | SIR (Departamental | Network Fold),es,17
cambio responsable correo electronico comunicacion,Correo Electrónico | Email,es,5
cómo instalar sap fiori en móvil android,SAP Fiori & Registro de Jornada,es,19
     cómo rehabilitar a un usuario externo qdado de bsaja en gdi  ,UNITY,es,25
cuales son los pasos para enviar mis factura al área de recepción de documentos ,RIC | SIR (Departamental | Network Fold),es,17
no consigo conectarme a la vpn,VPN,es,26
en que catálogo estan las peticiones para problemas funcionais ,UNITY,es,25
como puedo subir un documento ,MyMAR,es,10
     he alcanzado el límite de consumo de datos en mi móvil   puedes darme una ampliación de datos para mi móvil     ,Móvil / Mobile,es,11
firma digital docuemnto pdf  ,Firma Digital | Digital Signature,es,7
necesito instalar to do y no lo encuentro en el centro de software,Software Center,es,23
  no puedo acceder a la máquina virtual escritorio maquina  sac ,CITRIX,es,3
no tengo acceso  no puedo conectarme a id,PingID,es,15
quiero cambiar el windows  por el windows ,Windows SO | OS,es,29
     no tengo acceso a mi espacio en onedrive   ,OneDrive,es,14
necesito permiso para descargar adoba acrobat pro ,Adobe Acrobat,es,0
tengo problemas para conectarme al vpn,VPN,es,26
necesitaria que me actualizasen version acrobat reader porque no me deja ver algunos documentos pdf,Adobe Acrobat,es,0
conectar wifi,WiFi,es,28
como instalar workday en mi movil personal ,UNITY,es,25
teléfono de mar,MyMAR,es,10
vpn  no me funciona la vpn en casa ,VPN,es,26
necesito conectarme a la red wifi de repsol ,WiFi,es,28
necesito ayuda con el correo que no me funciona bien  problema de conexion en campus  problema con la lan,Correo Electrónico | Email,es,5
conexion outlook  outlook no conecta con el servidor,Correo Electrónico | Email,es,5
quiero descargar un certificado de firma,Firma Digital | Digital Signature,es,7
buenos días necesito recuperar correos desde un buzón ,Correo Electrónico | Email,es,5
     la conexión con la pantalla en la mesa  no funciona  le ha fallado ayer a un compañero y esta mañana a mí  yo estoy ahora sentado en la mesa   mi teléfono es el   pero estoy en una reunión hasta las    ,PingID,es,15
                   no me sincroniza el correo electrónico en outlook                  ,Correo Electrónico | Email,es,5
necesito instalar office,Microsoft Aplicaciones | Apps,es,9
necesito apoyo para activar licencia de office ,Office,es,13
no me entran emails en el outlook,Correo Electrónico | Email,es,5
ayuda en sap  sap,SAP,es,18
 como configurar mi cuenta de correo de repsol en el teléfono móvil ,Contraseña  | Password,es,4
mi usuario esta bloqueado,Contraseña  | Password,es,4
no arranca outlook,Correo Electrónico | Email,es,5
 hay algún manual para configurar skype empresarial en el teléfono móvil ,Skype,es,22
como configurar sap fiori en mi móvil,SAP Fiori & Registro de Jornada,es,19
ayer me enviaron un mensaje que mi red va a vencer proximamente,Contraseña  | Password,es,4
no me funciona vpn con outloock,VPN,es,26
como obtener office  ,Microsoft Aplicaciones | Apps,es,9
 como conseguir la contraseña de firma digital ,Firma Digital | Digital Signature,es,7
recuperar archivo perdido onedrive   tenía un archivo compartido y ahora no lo localizo  no sé si se puede recuperar la última versión,OneDrive,es,14
no puedo abrir sap,Correo Electrónico | Email,es,5
     reiniciar maquina virtual  ,CITRIX,es,3
citrix no funciona  no se cargan las aplicaciones,CITRIX,es,3
  me gustaría que me instalasen    office  licencia      ,Office,es,13
no me deja entrar con mi contraseña en la firma digital,Internet Navegadores | Browsers,es,8
tengo bloqueada la contrase a,Contraseña  | Password,es,4
nueva contraseña de usuario,Contraseña  | Password,es,4
he cambiado mi contraseña de acceso y al intentar leer mi correo en el móvil y pedirme la contraseña  me dice que las credenciales son inválidas y que lo intente de nuevo ,Contraseña  | Password,es,4
no  no tengo acceso a sap,SAP,es,18
     se me ha bloqueado la contraseña de vpn  ,Contraseña  | Password,es,4
bloqueo usuario sap,SAP,es,18
como puedo añadir un comentario en unity ,UNITY,es,25
como puedo subir un documento ,Sharepoint,es,21
me he quedado sin datos en el movil   cómo puedo ampliarlo ,Móvil / Mobile,es,11
acceso escriturta  necesito acceso de escritura a una carpeta de departamental,RIC | SIR (Departamental | Network Fold),es,17
necesito instalar office,Office,es,13
cómo conectar móvil a wifi de oficina ,WiFi,es,28
hola no puedo conectarme por vpn,VPN,es,26
qué petición tengo que abrir para solicitar la instalación de un programa en citrix ,CITRIX,es,3
     necesito desbloquear mi cuenta de usuario  ,Contraseña  | Password,es,4
tomar control de mi equipo de forma remota,Botón Admin / Admin button,es,2
instalar microsoft visio,Visio,es,27
no consigo conectarme a la vpn,VPN,es,26
tengo teléfono movil de empresa y en la actualidad no me actualiza el buzón del correo electrónico  creo que es un problema con sep mobile  aparentemente está funcionando pero creo que el sistema de repsol no lo reconoce  por favor  pueden ayudarme ,Correo Electrónico | Email,es,5
he olvidado la contraseña y solo dispongo del telefono movil  como hago para recuperarla ,Contraseña  | Password,es,4
necesito instalar impresora,Equipamiento TI | IT Equipment,es,6
quiero crear un buzón de correo,Correo Electrónico | Email,es,5
error al abrir los ficheros de pbi,Sharepoint,es,21
         como iniciar sesion en adobe acrobat pro       ,Adobe Acrobat,es,0
necesitaría por fabor ampliar puntualmente los datos móviles,Móvil / Mobile,es,11
reseteo contraseña personal a cargo,Contraseña  | Password,es,4
     hola       soy jean christophe hastaran  mi usario es        he cambiado mi contraseña en siv  pero cuando inicio el equipo  tengo que iniciar sesión con la contraseña antigua y no puedo actualizar la nueva        me puede ayudar  por favor     ,Microsoft Aplicaciones | Apps,es,9
necesito hablar con un técnico   necesito actualizar mi sistema operativo ,UNITY,es,25
     nuevo empleado personal externo ha recibido usuario   pero no contraseña   puedes facilitármela   ,Contraseña  | Password,es,4
modificar lista de distribución  necesito modificar destinatarios  necesito el link al autoservicio para modificar una lista de distribuciónç,Correo Electrónico | Email,es,5
no puedo conectarme al vpn ,VPN,es,26
necesito ampliar mis datos moviles,Móvil / Mobile,es,11
cómo reportar posible correo fraudulento ,Correo Electrónico | Email,es,5
       valades cerezo  pablo martin   cuando he cambiado mi contraseña en mi ordenador pc no me deja entrar en workday en mi smartfhone      ,VPN,es,26
se me ha estropeado la clavija del cargadore del portatil y estoy en casa  creo que tiene una bolita metida dentro de la clavija y no me permite conectarlo,Equipamiento TI | IT Equipment,es,6
  buenos días  por favor  respecto a mi solicitud de reducción de jornada   explicar como se calculan las  al año   ,UNITY,es,25
como desbloqueo el usuario de red ,Contraseña  | Password,es,4
cuenta deshabilitada,Contraseña  | Password,es,4
como debe ser mi contraseña de usuario ,Contraseña  | Password,es,4
como abrir unity ,UNITY,es,25
consulta firmas digital  estoy tramitando para obtener la firma digital y no me deja,Firma Digital | Digital Signature,es,7
no tengo datos en el móvil,Móvil / Mobile,es,11
outlook no puede iniciar sesion  los recursos que utiliza mi pc estan agotados y me obliga a cerrar ventanas,Correo Electrónico | Email,es,5
necesito instalar office    pero no me aparece en el centro de software,Microsoft Aplicaciones | Apps,es,9
problemas para acceder por ping id,PingID,es,15
como acceder a vpn ,VPN,es,26
conectarme con wifi,WiFi,es,28
necesito ayuda sobre la configuración del buzón genérico en mi nuevo portátil corporativo ,Correo Electrónico | Email,es,5
  me gustaría que me instalasen    office  licencia      ,Microsoft Aplicaciones | Apps,es,9
tengo problemas de acceso al vpn y sap    se ha bloqueado mi acceso,SAP,es,18
hola  tengo problemas de conexión a vpn ,VPN,es,26
puedes darme un telefono para contactar con alguien de informatica,MyMAR,es,10
     existe la opción de crear eventos en streaming via teams    ,Teams,es,24
necesito configurar un buzón de correo electrónico,Correo Electrónico | Email,es,5
password,Contraseña  | Password,es,4
quisiera saber cómo instalar sap fiori,SAP Fiori & Registro de Jornada,es,19
necesito los parametros para configurar citrix en mi movil corporativo samsung,Teams,es,24
instalar ping id,PingID,es,15
no me funciona skype en el movil,Skype,es,22
necesito ser administrador de mi equipo portátil,Botón Admin / Admin button,es,2
no tengo linea disponible en mi telefono movil,Apps móviles | Mobile Apps,es,1
comunidades en mantenimiento de aplicaciones,UNITY,es,25
mi equipo esta muy lento ,Sharepoint,es,21
hp laserjet pro  ,Equipamiento TI | IT Equipment,es,6
  tengo problemas de acceso a una carpeta ubicada en un disco departamental     depart departcca sma  la incidencia se abrió ayer    y hoy se ha abierto otra con referencia    ,RIC | SIR (Departamental | Network Fold),es,17
cómo actualizo la aplicación de power bi a la última versión ,PowerBI,es,16
evitar que aparezcan credenciales en outlook,Correo Electrónico | Email,es,5
reiniciado pc         mymar      para que me pueda conectar a tu equipo haz clic en  conectar        si no estás en la oficina  recuerda conectarte a la vpn           conectar          se te abrirá un navegador web y transurridos unos  segundos se te abrirá otra ventana y empezará el proceso       cuando finalice y hayas reiniciado el pc  vuelve a esta conversación en teams para continuar          ,VPN,es,26
no funciona mi conexion a red,PingID,es,15
necesito contactar con un operador,Móvil / Mobile,es,11
como abro un ticket al mar,UNITY,es,25
cómo puedo cargar más datos en mi móvil,Móvil / Mobile,es,11
cuando pongo la contraseña de  en mi telefono movil no la acepta,Contraseña  | Password,es,4
tengo un problema con los cascos de mi portatil,Equipamiento TI | IT Equipment,es,6
necesito instalar skype en el móvil,Skype,es,22
cuando estoy en la oficina   cómo puedo conectar mi movil a la red wifi de repsol ,WiFi,es,28
no tengo acceso a afo dentro del módulo  en sap,SAP,es,18
como puedo habilitar mis unidades de red ,Contraseña  | Password,es,4
vpn,VPN,es,26
quiero desbloquear un usuario dependiente,Teams,es,24
                   no me conecta la vpn  se queda inicializando                  ,VPN,es,26
hola mi correo no va en el móvil,Correo Electrónico | Email,es,5
  hola  necesito que se desbloquee el usuario  del grupo fase am que ha sido desactivado por inactividad  ,UNITY,es,25
 como se agrega un buzon de outlook ,Correo Electrónico | Email,es,5
como puedo conectar el movil a la wifi repol internet ,WiFi,es,28
alta de nuevos usuarios en global mineral rights ,UNITY,es,25
necesito ampliar los datos de mi móvil de empresa,Móvil / Mobile,es,11
hola  quiero dar de alta un buzon de correo compartido,Correo Electrónico | Email,es,5
 me puedes enviar un código qr para ping id ,PingID,es,15
no  onedrive dejó de funcionar  onedrive se cierra autómaticamente siempre,OneDrive,es,14
     no puedo acceder a la aplicación de registro de jornada  ,SAP Fiori & Registro de Jornada,es,19
problemas con buzon de correo  tengo dos buzones y uno no se abre,Correo Electrónico | Email,es,5
el movil no conecta a la wifi corporativa,WiFi,es,28
instalar adobre acrobat pro,Adobe Acrobat,es,0
como usar administrador local,Botón Admin / Admin button,es,2
necesito acceso buzones de correo,Correo Electrónico | Email,es,5
como hago para crear un grupo en team ,Teams,es,24
      cuál es la aplicación para fichar con el móvil   ,SAP Fiori & Registro de Jornada,es,19
mi usuario sap   está bloqueado,SAP,es,18
incremento datos  necesito aumentar datos móviles en telefono,Móvil / Mobile,es,11
es un operador de nueva incorporación y no tiene acceso a nuestro disco departamental y tampoco a la aplicación de gestión de permisos de trabajo,News,es,12
tengo problemas para ingresar al sap,SAP,es,18
tengo la cuenta bloqueada  ,Contraseña  | Password,es,4
